"key","en","vi","zh"
"/* Common */"
"txt_cancel","Cancel","Hủy","取消"
"txt_send","Send","Gửi","发送"
"txt_create_group_failed","Create group failed","Tạo nhóm thất bại","建立群组失败"
"txt_message","Message","Nhắn tin","信息"
"txt_reply","Reply","Trả lời","回复"
"txt_copy","Copy","Copy","复制"
"txt_share","Share","Chia sẻ","分享"
"txt_delete","Delete","Xóa","删除"
"txt_search","Search","Tìm kiếm","搜索"
"/* Account */"
"account_title","Account","Tài khoản","帐户"
"account_profile","Profile","Hồ sơ cá nhân","个人资料"
"account_setting","Setting","Cài đặt thông báo","设置"
"account_name_placeholder","Enter your name","Nhập tên đại diện","输入你的名字"
"account_phone_placeholder","Enter your phone","Nhập số điện thoại","输入你的手机"
"account_language","Language","Ngôn ngữ","语言"
"account_update","Update","Cập nhật ngay","更新资料"
