"key","zh","en","vi"
"/* Common */","","",""
"txt_cancel","取消","Cancel","Hủy"
"txt_send","发送","Send","Gửi"
"txt_create_group_failed","建立群组失败","Create group failed","Tạo nhóm thất bại"
"txt_message","信息","Message","Nhắn tin"
"txt_reply","回复","Reply","Trả lời"
"txt_copy","复制","Copy","Copy"
"txt_share","分享","Share","Chia sẻ"
"txt_delete","删除","Delete","Xóa"
"txt_search","搜索","Search","Tìm kiếm"
"/* Account */","","",""
"account_title","帐户","Account","Tài khoản"
"account_profile","个人资料","Profile","Hồ sơ cá nhân"
"account_setting","设置","Setting","Cài đặt thông báo"
"account_name_placeholder","输入你的名字","Enter your name","Nhập tên đại diện"
"account_phone_placeholder","输入你的手机","Enter your phone","Nhập số điện thoại"
"account_language","语言","Language","Ngôn ngữ"
"account_update","更新资料","Update","Cập nhật ngay"
